Region,Function,Memory (MB),Code Size (MB),Timeout (seconds),Runtime,Description,Last Modified,Last Invocation
ap-southeast-1,sam-python-wechat-SendMessageFunction-1VHKS73E586V0,512,25.05,60,python3.7,,328 days ago,N/A (no invocations?)
ap-southeast-1,sam-python-wechat-GetSignatureFunction-9XL743HLYDQO,128,18.38,60,python3.7,,328 days ago,327 days ago
ap-southeast-1,sam-python-wechat-WechatFunction-1RSHZHS0MQNFN,512,18.27,60,python3.7,,328 days ago,327 days ago
ap-southeast-1,sam-python-wechat-LoginFunction-55GEGXHAW5,128,25.04,60,python3.7,,328 days ago,N/A (no invocations?)
ap-southeast-1,line-app-demo-LoginFunction-IBJNF2S7JBBK,512,0.52,60,python3.8,,195 days ago,N/A (no invocations?)
ap-southeast-1,line-app-demo-LineFunction-ISGPXY381WR4,512,1.53,60,python3.8,,195 days ago,N/A (no invocations?)
eu-central-1,sam-app-LambdaSpringBootFunction-ZQ6GWL3QCKQE,512,45.03,60,java8,,353 days ago,319 days ago
eu-central-1,sam-app-SendMessageFunction-M3TVA780UMBZ,512,45.03,60,java8,,353 days ago,352 days ago
us-east-1,test_redirect_url,128,0.00,10,python3.7,,77 days ago,77 days ago
us-east-1,rs-html2pdf,2048,20.02,150,python3.7,,7 days ago,7 days ago
us-east-1,findWeather,128,0.86,3,python3.6,,174 days ago,39 days ago
us-east-1,lambda-sqs,128,0.00,3,python3.7,,38 days ago,38 days ago
us-east-1,python-example-iam-dev-hello-iam-example,1024,0.00,6,python2.7,,39 days ago,39 days ago
us-east-1,haipb-testing-request-url-nodejs,256,0.00,10,nodejs14.x,,66 days ago,66 days ago
us-east-1,python-example-environment-variables-dev-hello-env-john,1024,0.00,6,python2.7,,39 days ago,39 days ago
us-east-1,ria-crop-demo,2048,0.02,50,python3.6,,63 days ago,14 days ago
us-east-1,rs-html2pdf-asyn,1024,20.61,30,python3.7,,60 days ago,60 days ago
us-east-1,python-example-environment-variables-dev-hello-env-marc,1024,0.00,6,python2.7,,39 days ago,39 days ago
us-east-1,generative-weather-chatbot,512,0.40,120,python3.6,,174 days ago,N/A (no invocations?)
us-east-1,vsii-fcm,128,0.00,3,python3.8,,39 days ago,39 days ago
us-east-1,process_image_upload,128,0.01,3,python3.6,,139 days ago,N/A (no invocations?)
us-east-1,randomMessages,128,0.00,3,nodejs14.x,,41 days ago,40 days ago
us-east-1,haipb-testing-get-redirect-image,512,0.00,30,python3.7,,66 days ago,N/A (no invocations?)
us-east-1,python-example-vpc-dev-hello-vpc,1024,0.00,6,python2.7,,39 days ago,38 days ago
us-east-1,LambdaChildFunction,128,0.00,3,python3.8,,45 days ago,44 days ago
us-east-1,vsii-weather-chatbot,128,0.87,3,python3.8,,174 days ago,173 days ago
us-east-1,python-s3-thumbnail-dev-s3-thumbnail-generator,128,5.86,10,python2.7,,39 days ago,38 days ago
us-east-1,ria_weatherLamdaFunc_demo,128,0.88,3,python3.6,,174 days ago,N/A (no invocations?)
us-east-1,lambda_efs,128,0.00,3,python3.8,,63 days ago,62 days ago
us-east-1,hashtag_crop_demo,128,0.00,3,python3.6,,98 days ago,N/A (no invocations?)
us-east-1,rs-cloudfont-testing,128,0.00,5,nodejs12.x,Blueprint for generating a response from viewer-request trigger implemented in NodeJS.,81 days ago,81 days ago
us-east-1,LambdaParentFunction,128,0.00,3,python3.8,,35 days ago,44 days ago
us-east-1,ria-ai-hashtag-lambda-1,1024,0.01,63,python3.6,,98 days ago,N/A (no invocations?)
us-east-1,ria-ai-collage-detection-transform-output,128,0.00,3,python3.7,,4 days ago,4 days ago
us-east-1,sam-app-HelloWorldFunction-U5MYTWBRZ343,128,0.56,3,python3.6,,67 days ago,66 days ago
us-east-1,tvt-combine-names,128,0.00,3,python3.7,,11 days ago,11 days ago
us-east-1,presignedUrl,128,0.00,3,python3.8,,7 days ago,6 days ago
us-east-1,ria-chat-bot-lambda,128,0.00,3,python3.6,,161 days ago,N/A (no invocations?)
us-east-1,tvt_lambda_sf_helloworld,128,0.00,3,nodejs12.x,,11 days ago,11 days ago
us-east-1,thangcm-test-upload-lambda,128,0.00,3,python3.8,,139 days ago,139 days ago
us-east-1,lambda_test_pandas,128,0.00,3,python3.7,,145 days ago,144 days ago
us-east-1,ria-convert-url-to-base64,128,0.00,3,python3.6,,56 days ago,N/A (no invocations?)
us-east-1,ria_demo_fallBackIntent,128,0.00,3,python3.8,,165 days ago,N/A (no invocations?)
us-east-1,anhpt-lambda-test,128,0.00,3,python3.8,,76 days ago,75 days ago
us-east-1,test_collage_detection,128,0.00,3,python3.7,,6 days ago,5 days ago
us-east-1,ria_demo_recommend_intent,128,0.01,3,python3.7,,172 days ago,96 days ago
us-east-1,haipbTestingSAM-HelloWorldFunction-SYX083EAMZ9U,128,2.01,5,nodejs12.x,,75 days ago,75 days ago
us-east-1,ria-ai-hashtag-lambda,128,0.00,3,python3.8,,6 days ago,5 days ago
us-east-2,ria-crop-image,128,0.01,3,python3.6,,63 days ago,63 days ago
us-west-2,calculateSquare,128,0.00,3,nodejs14.x,,33 days ago,32 days ago
us-west-2,invokeStateMachine,128,0.00,3,nodejs14.x,,32 days ago,32 days ago
us-west-2,writeToDynamoDB,128,0.00,3,nodejs14.x,,31 days ago,N/A (no invocations?)
us-west-2,copyFile,128,0.00,3,nodejs14.x,,31 days ago,N/A (no invocations?)
us-west-2,calculator,128,0.00,3,nodejs10.x,,33 days ago,32 days ago
us-west-2,sam-calculateSquare-PostNumber-D8C659AD3H3H,128,7.89,5,nodejs10.x,,33 days ago,33 days ago
us-west-2,sam-rest-api-v1-PostUser-CZ23WUSS22A3,128,7.89,5,nodejs10.x,,34 days ago,34 days ago
us-west-2,eventLogger,128,0.00,3,nodejs14.x,,33 days ago,32 days ago
us-west-2,deleteFile,128,0.00,3,nodejs14.x,,31 days ago,N/A (no invocations?)
us-west-2,getFileType,128,0.00,3,nodejs14.x,,31 days ago,N/A (no invocations?)
us-west-2,hello-world,128,0.00,3,nodejs14.x,,32 days ago,32 days ago
us-west-2,lambdaAuth,512,0.00,10,nodejs12.x,A simple backend (read/write to DynamoDB) with a RESTful API endpoint using Amazon API Gateway.,33 days ago,N/A (no invocations?)
us-west-2,sam-rest-api-v1-DeleteUser-7GG92AY08ZGY,128,7.89,5,nodejs10.x,,34 days ago,34 days ago
us-west-2,sam-rest-api-v1-GetUser-E6ZU2KUL877U,128,7.89,5,nodejs10.x,,34 days ago,33 days ago
us-west-2,invokeImageProcessor,128,0.00,3,nodejs14.x,,32 days ago,N/A (no invocations?)
us-west-2,sam-resizeImage-resizeImageFunction-YBTOX31IWSO3,128,20.63,5,nodejs14.x,,31 days ago,7 days ago
us-west-2,resizeImage,128,0.00,3,nodejs14.x,,31 days ago,N/A (no invocations?)
